#mu         density         sigma_xx         sigma_xy         alpha_xx         alpha_xy         beta_xx         beta_xy
-2.20000000  0.11938242   2.84489786e-01 -3.88584459e-01   4.85713514e-03  1.78296538e-02   7.52165691e-01 -1.02272519e+00
-2.16000000  0.12419323   2.92029613e-01 -3.59827710e-01   5.18550810e-03  2.01773837e-02   7.72506986e-01 -9.46697476e-01
-2.12000000  0.12917640   3.00264331e-01 -3.27522302e-01   5.87085011e-03  2.23758557e-02   7.95175673e-01 -8.62052143e-01
-2.08000000  0.13434934   3.09969923e-01 -2.92283681e-01   7.32662137e-03  2.35942116e-02   8.22711837e-01 -7.71949769e-01
-2.04000000  0.13977375   3.22765541e-01 -2.56714010e-01   1.01810197e-02  2.21155030e-02   8.59464819e-01 -6.84090513e-01
-2.00000000  0.14654811   3.41161380e-01 -2.26056053e-01   1.45287860e-02  1.80768464e-02   9.10018176e-01 -6.04255614e-01
-1.96000000  0.15812212   3.66800063e-01 -2.01232251e-01   1.90987511e-02  1.73616211e-02   9.76614181e-01 -5.25812526e-01
-1.92000000  0.17157836   3.98712173e-01 -1.71363837e-01   2.26185122e-02  2.55078789e-02   1.05876885e+00 -4.30065962e-01
-1.88000000  0.18620540   4.35044859e-01 -1.22051395e-01   2.51099001e-02  4.22249134e-02   1.15333439e+00 -2.87093961e-01
-1.84000000  0.20274364   4.74559183e-01 -4.24278892e-02   2.67389404e-02  6.31717390e-02   1.25588123e+00 -7.62946556e-02
-1.80000000  0.22341839   5.15646585e-01  6.76963722e-02   2.68192383e-02  7.73274442e-02   1.36088092e+00  1.90499460e-01
-1.76000000  0.24382635   5.55264501e-01  1.87732597e-01   2.48918940e-02  7.58265919e-02   1.46246909e+00  4.81327996e-01
-1.72000000  0.25975146   5.90771517e-01  2.95264562e-01   2.19244814e-02  6.54358188e-02   1.55575110e+00  7.60806194e-01
-1.68000000  0.27357046   6.21690369e-01  3.86157591e-01   1.91007883e-02  5.57015482e-02   1.63827567e+00  1.00583685e+00
-1.64000000  0.28612227   6.48723157e-01  4.64570382e-01   1.68048815e-02  4.87942490e-02   1.71064648e+00  1.21749655e+00
-1.60000000  0.29775360   6.72672045e-01  5.34328630e-01   1.49802179e-02  4.39188736e-02   1.77465030e+00  1.40460369e+00
-1.56000000  0.30868186   6.94151342e-01  5.97800569e-01   1.35009851e-02  4.02744716e-02   1.83192368e+00  1.57401450e+00
-1.52000000  0.31903102   7.13600041e-01  6.56424431e-01   1.22690334e-02  3.73959220e-02   1.88368828e+00  1.73001342e+00
-1.48000000  0.32888843   7.31335023e-01  7.11125633e-01   1.12179100e-02  3.50248367e-02   1.93082895e+00  1.87530491e+00
-1.44000000  0.33834191   7.47591709e-01  7.62538191e-01   1.03030957e-02  3.30102364e-02   1.97399865e+00  2.01169926e+00
-1.40000000  0.34743291   7.62550409e-01  8.11119782e-01   9.49408829e-03  3.12581279e-02   2.01369347e+00  2.14047964e+00
-1.36000000  0.35621100   7.76353074e-01  8.57214572e-01   8.76934400e-03  2.97065019e-02   2.05030120e+00  2.26259841e+00
-1.32000000  0.36469834   7.89114127e-01  9.01089689e-01   8.11318753e-03  2.83125136e-02   2.08413266e+00  2.37878792e+00
-1.28000000  0.37292992   8.00927662e-01  9.42957855e-01   7.51390248e-03  2.70453626e-02   2.11544227e+00  2.48962733e+00
-1.24000000  0.38093417   8.11872369e-01  9.82991919e-01   6.96252265e-03  2.58821533e-02   2.14444205e+00  2.59558490e+00
-1.20000000  0.38872244   8.22015023e-01  1.02133489e+00   6.45205422e-03  2.48054966e-02   2.17131143e+00  2.69704659e+00
-1.16000000  0.39630742   8.31413027e-01  1.05810701e+00   5.97694508e-03  2.38018927e-02   2.19620425e+00  2.79433598e+00
-1.12000000  0.40371342   8.40116246e-01  1.09341035e+00   5.53270752e-03  2.28605728e-02   2.21925388e+00  2.88772725e+00
-1.08000000  0.41096059   8.48168386e-01  1.12733206e+00   5.11565650e-03  2.19729284e-02   2.24057699e+00  2.97745449e+00
-1.04000000  0.41805325   8.55608098e-01  1.15994744e+00   4.72270761e-03  2.11322137e-02   2.26027646e+00  3.06372021e+00
-1.00000000  0.42499708   8.62469801e-01  1.19132262e+00   4.35120159e-03  2.03331130e-02   2.27844380e+00  3.14670184e+00
-0.96000000  0.43180311   8.68784260e-01  1.22151618e+00   3.99880515e-03  1.95713921e-02   2.29516091e+00  3.22655544e+00
-0.92000000  0.43847668   8.74579027e-01  1.25058083e+00   3.66353488e-03  1.88434495e-02   2.31050168e+00  3.30341854e+00
-0.88000000  0.44502557   8.79878911e-01  1.27856442e+00   3.34388504e-03  1.81453058e-02   2.32453345e+00  3.37741246e+00
-0.84000000  0.45146684   8.84706590e-01  1.30550930e+00   3.03894006e-03  1.74718074e-02   2.33731788e+00  3.44864420e+00
-0.80000000  0.45781176   8.89083380e-01  1.33145090e+00   2.74818675e-03  1.68174497e-02   2.34891112e+00  3.51721047e+00
-0.76000000  0.46405844   8.93029738e-01  1.35641796e+00   2.47079915e-03  1.61789835e-02   2.35936350e+00  3.58320314e+00
-0.72000000  0.47020156   8.96564719e-01  1.38043590e+00   2.20481345e-03  1.55578965e-02   2.36872003e+00  3.64671006e+00
